Cursos,Total Vagas Regulares,Total Vagas VU,Ampla Concorrência Mínimo,Ampla Concorrência Máximo,Reserva de Vagas para PP 15%,"Reserva de Vagas para PP 27,2%",string
Música: Regência (Integral),3,3,3,3,0,0,"## Vagas do curso Música: Regência (Integral)
O curso de Música: Regência (Integral) possui um total de 3 vagas regulares, das quais todas são oferecidas pelo vestibular da Unicamp na modalidade de ampla concorrência. Este curso não possui reservas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as).
"
Nutrição (Integral),60,46,30,37,9,16,"## Vagas do curso Nutrição (Integral)
O curso de Nutrição (Integral) possui um total de 60 vagas regulares, das quais 46 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 30 e 37 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 9 e 16.

"
Odontologia (Integral),80,60,38,48,12,22,"## Vagas do curso Odontologia (Integral)
O curso de Odontologia (Integral) possui um total de 80 vagas regulares, das quais 60 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 38 e 48 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 12 e 22.

"
Pedagogia - Licenciatura (Integral),45,36,24,29,7,12,"## Vagas do curso Pedagogia - Licenciatura (Integral)
O curso de Pedagogia - Licenciatura (Integral) possui um total de 45 vagas regulares, das quais 36 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 24 e 29 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 7 e 12.

"
Pedagogia - Licenciatura (Noturno),45,36,24,29,7,12,"## Vagas do curso Pedagogia - Licenciatura (Noturno)
O curso de Pedagogia - Licenciatura (Noturno) possui um total de 45 vagas regulares, das quais 36 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 24 e 29 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 7 e 12.

"
Química (Integral),70,49,30,38,11,19,"## Vagas do curso Química (Integral)
O curso de Química (Integral) possui um total de 70 vagas regulares, das quais 49 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 30 e 38 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 11 e 19.

"
Química Tecnológica (Noturno),40,28,17,22,6,11,"## Vagas do curso Química Tecnológica (Noturno)
O curso de Química Tecnológica (Noturno) possui um total de 40 vagas regulares, das quais 28 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 17 e 22 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 6 e 11.

"
Sistemas de Informação (Integral),50,33,19,25,8,14,"## Vagas do curso Sistemas de Informação (Integral)
O curso de Sistemas de Informação (Integral) possui um total de 50 vagas regulares, das quais 33 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 19 e 25 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 8 e 14.

"
Tecnologia em Análise e Desenvolvimento de Sistemas (Noturno),50,33,19,25,8,14,"## Vagas do curso Tecnologia em Análise e Desenvolvimento de Sistemas (Noturno)
O curso de Tecnologia em Análise e Desenvolvimento de Sistemas (Noturno) possui um total de 50 vagas regulares, das quais 33 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 19 e 25 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 8 e 14.

"
Tecnologia em Saneamento Ambiental (Noturno),70,49,30,38,11,19,"## Vagas do curso Tecnologia em Saneamento Ambiental (Noturno)
O curso de Tecnologia em Saneamento Ambiental (Noturno) possui um total de 70 vagas regulares, das quais 49 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 30 e 38 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 11 e 19.

"
Total,3340,2537,1633,2021,516,904,"## Total de Vagas
 No total são oferecidas 3340 vagas regulares, das quais 2537 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 1633 e 2021 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 516 e 904."
